Job Title,Salary Estimate,Rating,Company Name,Location,Size,Type of ownership,Industry,Revenue
Data Scientist,$101K-$165K,4.5,Demandbase,"San Francisco, CA",201 - 500 ,Company - Private,Computer Hardware & Software,$100 to $500 million 
Say Business Data Analyst,$101K-$165K,4.1,Shelter Insurance,"Columbia, MO",1001 - 5000 ,Company - Private,Insurance Carriers,$1 to $2 billion 
Geospatial Data Scientist,$101K-$165K,3.5,Maxar Technologies,"Chantilly, VA",5001 - 10000 ,Company - Public,Aerospace & Defense,$2 to $5 billion 
Data Analyst,$101K-$165K,2.7,USAC,"Washington, DC",501 - 1000 ,Nonprofit Organization,Telecommunications Services,$25 to $50 million 
Computational Scientist,$101K-$165K,3.4,General Dynamics Information Technology,"Vicksburg, MS",10000+ ,Subsidiary or Business Segment,IT Services,$10+ billion 
Data Scientist,$101K-$165K,4.4,Offerpad,"Chandler, AZ",201 - 500 ,Company - Private,Real Estate,Unknown 
Senior Data Analyst,$101K-$165K,4.0,Autodesk,"San Francisco, CA",5001 - 10000 ,Company - Public,Computer Hardware & Software,$2 to $5 billion 
Senior Data Analyst,$101K-$165K,4.2,Autodesk,"San Francisco, CA",5001 - 10000 ,Company - Public,Research & Development,$1 to $2 billion 
Data Engineer,$101K-$165K,3.5,Magna International Inc.,"Birmingham, AL",10000+ ,Company - Public,Not Classified,$10+ billion 
Sr Data Analyst,$101K-$165K,2.3,United BioSource,"Blue Bell, PA",1001 - 5000 ,Other Organization,Biotech & Pharmaceuticals,$100 to $500 million 
Data Scientist,$101K-$165K,3.4,Kelly,"Chicago, IL",5001 - 10000 ,Company - Public,Staffing & Outsourcing,$5 to $10 billion 
"Machine Learning Scientist - Bay Area, CA",$101K-$165K,3.3,Tempus Labs,"Redwood City, CA",501 - 1000 ,Company - Private,Biotech & Pharmaceuticals,Unknown 
Data Scientist,$101K-$165K,4.7,C3.ai,"Redwood City, CA",201 - 500 ,Company - Private,Enterprise Software & Network Solutions,$100 to $500 million 
Senior Data Scientist - Algorithms,$101K-$165K,3.9,Quartet Health,"New York, NY",201 - 500 ,Company - Private,Enterprise Software & Network Solutions,Unknown 
Data Analyst,$101K-$165K,3.3,Midland Credit Management,"San Diego, CA",1001 - 5000 ,Subsidiary or Business Segment,Banks & Credit Unions,$1 to $2 billion 
Senior Data & Machine Learning Scientist,$101K-$165K,3.3,Tempus Labs,"Chicago, IL",501 - 1000 ,Company - Private,Biotech & Pharmaceuticals,Unknown 
Data Engineer,$101K-$165K,4.4,Resurgent Capital Services,"Cincinnati, OH",201 - 500 ,Company - Private,Venture Capital & Private Equity,$50 to $100 million 
"Data Scientist - Statistics, Early Career",$56K-$97K,3.7,PNNL,"Richland, WA",1001 - 5000 ,Government,Energy,$500 million to $1 billion 
Data Scientist,$56K-$97K,3.5,Buckman,"Memphis, TN",1001 - 5000 ,Company - Private,Chemical Manufacturing,$500 million to $1 billion 
Machine Learning Engineer,$56K-$97K,3.6,Buckman,"Memphis, TN",501 - 1000 ,Nonprofit Organization,Federal Agencies,$50 to $100 million 
Research Scientist - Patient-Centered Research (Remote),$56K-$97K,3.8,Evidera,"Bethesda, MD",501 - 1000 ,Subsidiary or Business Segment,Biotech & Pharmaceuticals,$100 to $500 million 
Jr. Business Data Analyst (position added 6/12/2020),$56K-$97K,4.7,webfx.com,"Harrisburg, PA",201 - 500 ,Company - Private,Advertising & Marketing,$25 to $50 million 
Sr. Data Scientist II,$56K-$97K,3.5,Argo Group US,"New York, NY",1001 - 5000 ,Company - Public,Insurance Carriers,$1 to $2 billion 
Data Scientist,$56K-$97K,3.3,BWX Technologies,"Oak Ridge, TN",5001 - 10000 ,Company - Public,Aerospace & Defense,$500 million to $1 billion 
Senior Data Analyst,$56K-$97K,3.9,Life360,"San Francisco, CA",51 - 200 ,Company - Public,Internet,Unknown 
